Asset Class,Asset,Symbol,Start Date,End Date,mean,std,min,max
Equities,IBEX 35,IB,1992-07-21,2020-06-29,0.029541189,1.454776997,-13.13188482,14.78432138
Equities,MIB 30,ST,2004-03-23,2020-06-29,0.014664637,1.484769592,-15.54930548,10.75504497
Equities,Nasdaq 100,NQ,1999-06-22,2020-06-29,0.037053395,1.725998947,-10.84225333,16.70109537
Equities,Nikkei 225,NK,1988-09-05,2020-06-29,0.007102238,1.470825248,-13.06545363,20.70873206
Equities,OMX Index,QC,2005-02-15,2020-06-29,0.03787849,1.391193431,-11.34124593,10.26615032
Equities,S&P 500 E-Mini,SP,1987-01-02,2020-06-29,0.031149534,1.217805374,-28.60820595,19.42277691
Equities,SMI Index,SMI,1991-10-29,2020-06-29,0.040872455,1.901632771,-15.74304942,134.1798036
Equities,SPTSX60 Index,PT,1999-09-08,2020-06-29,0.023547689,1.195735069,-12.64362319,13.29725551
Equities,UKX (ftse 100),Z ,1988-02-29,2020-06-29,0.017634236,1.119789719,-9.591628116,10.05251029
Fixed Income,Australia 10 Yr,XM,1987-09-21,2020-06-29,0.002052329,0.076443634,-0.657451439,0.60373464
Fixed Income,Canada 10 Yr,CN,1989-09-18,2020-06-29,0.014369814,0.375947666,-2.654711674,2.277704774
Fixed Income,Euro/German Bobl 5 Yr,OE,1991-10-07,2020-06-29,0.010552966,0.195361057,-1.222007067,1.067085131
Fixed Income,Euro/German Bund 10 Yr,RX,1990-11-26,2020-06-29,0.016840234,0.3306216,-1.829930806,1.972765363
Fixed Income,Euro/German Buxl 30 Yr,UB,1998-10-05,2020-06-29,0.023896936,0.700629728,-4.938711834,4.62478185
Fixed Income,Euro/German Schatz 2 Yr,DU,1997-03-10,2020-06-29,0.003073612,0.074510123,-0.610588247,0.57912838
Fixed Income,Japan/JGB 10 Yr,JB,1987-01-05,2020-06-29,0.011170479,0.278225517,-2.325203252,2.387357095
Fixed Income,UK/Gilt 10 Yr,G ,1987-01-02,2020-06-29,0.012046523,0.431930819,-2.460850112,3.719008264
Fixed Income,US Treasury Note/FV 5Yr,FV,1988-05-23,2020-06-29,0.010783313,0.243156596,-1.900277474,1.972055888
Fixed Income,US Treasury Note/TU 2Yr,TU,1990-06-26,2020-06-29,0.005327336,0.097824664,-0.922328192,0.864324796
Fixed Income,US Treasury Note/TY 10Yr,TY,1987-01-02,2020-06-29,0.014013908,0.37849515,-2.386675824,3.623898139
Fixed Income,US Treasury Note/US 15Yr,US,1987-01-02,2020-06-29,0.019479511,0.615857783,-4.110066179,4.046242775
Fixed Income,US Treasury Note/WN 30Yr,WN,2010-01-12,2020-06-29,0.032170615,0.866309837,-6.6129874,6.69153301
